first_name,middle_name,last_name,username,password,contact_number,status,role_id,locale_id,district_id,division_id
Melissa,Williams,Murphy,melissamurphy,2jaPx6yd9u,09338712073,Active,1,1,1,1
Isabella,Ross,Cooper,isabellacooper,6VxKqToTUv,09981787414,Active,2,1,1,1
Arianna,Stewart,Grande,ariannagrande,YbfNcI772y,09150913370,Active,3,1,1,1
Roland,Ellis,Davis,rolanddavis,1LDsCM47XS,09338712073,Active,1,2,1,1
Miller,Cunnigham,Hill,millerhill,Vu0c1P6R7S,09981787414,Active,2,2,1,1
Stuart,Craig,Roberts,stuartroberts,7PIKFv3MVG,09150913370,Active,3,2,1,1
Tiana,Tucker,Harrison,tianaharrison,jiTsjQSYAC,09338712073,Active,1,3,1,1
Owen,Tucker,Campbell,owencampbell,C918wJuin6,09981787414,Active,2,3,1,1
Amy,Watson,smith,amysmith,FwDu2f9b0c,09150913370,Active,3,3,1,1
Derek,Dixon,Ellis,derekellis,UfiAr6IHNh,09338712073,Active,1,4,2,1
Belinda,Morrison,Morris,belindamorris,9H3beKzeHg,09981787414,Active,2,4,2,1
Penelope,Clark,Stewart,penelopestewart,ZM9oRry5HB,09150913370,Active,3,4,2,1
Agata,Edwards,Ellis,agataellis,C9Xn8kG7JV,09338712073,Active,1,5,2,1
Natalier,Montgomery,Smith,nataliersmith,ZQ6qhoJZZn,09981787414,Active,2,5,2,1
Haris,Cooper,Reed,harisreed,Syon2BRenu,09150913370,Active,3,5,2,1
Fiona,Haper,Brooks,fionabrooks,2N7eJmQDEX,09338712073,Active,1,6,2,1
Alford,Mason,Payne,alfordpayne,Mb95GLjKzt,09981787414,Active,2,6,2,1
Chloe,Cameron,Cunnigham,chloecunnigham,r8LUL2vQWj,09150913370,Active,3,6,2,1
Byron,Carter,Davis,byrondavis,d8uGXfwgS2,09338712073,Active,1,7,3,1
Brad,Wilson,Cameron,bradcameron,k9TfG589sC,09981787414,Active,2,7,3,1
Chelsea,Myers,Higgins,chelseahiggins,k9TfG589sC,09150913370,Active,3,7,3,1
Andrew,Parker,Barnes,andrewbarnes,84dLFYT6qj,09338712073,Active,1,8,3,1
Grace,Rogers,Fowler,gracefowler,WvPF3pxQn7,09981787414,Active,2,8,3,1
Mike,Owens,Roberts,mikeroberts,h4WyJaJdhM,09150913370,Active,3,8,3,1
Andrew,Fowler,Myers,andrewmyers,hTpSuY922n,09338712073,Active,1,9,3,1
Max,Davis,Hunt,maxhunt,QMQmiA8Zzo,09981787414,Active,2,9,3,1
Lyndon,Ross,Murphy,lyndonmurphy,fDu2nPyUkR,09150913370,Active,3,9,3,1
Alissa,Morrison,Edwards,alissaedwards,X4VfVfwm88,09150913370,Active,4,,1,1
Vincent,Henderson,Kelly,vincentkelly,8WXka4UkcM,09150913370,Active,4,,2,1
Kelvin,Richards,Miller,kelvinmiller,U7G7PmViR9,09150913370,Active,4,,3,1
Arianna,Hill,Cunningham,ariannacunningham,dKzxsNx46E,09150913370,Active,5,,,1
Spike,Turner,Morrison,spikemorrison,gBKepio9bK,09534368054,Active,6,,,1
Madaline,Cooper,Alexander,madalinealexander,AVZts5geLE,09534368054,Active,6,,,1
Preston,Allen,Hawkins,prestonhawkins,HKxoLtULL4,09534368054,Active,6,,,1
Paige,Andrews,Wilcon,paigewilcon,L9x3E2UUsS,09534368054,Active,6,,,1
Dainton,Murphy,Hall,daintonhall,qgUs74k6iq,09665345400,Active,7,,,
George,Cooper,Douglas,georgedouglas,Z33kDb97rk,09534368054,Active,8,,,
Paul,Holmes,Harper,paulharper,Qtvi6bcktA,09534368054,Active,9,,,
Kimberly,Parker,Adams,kimberlyadams,fYh3eMmSsg,09534368054,Active,9,,,
Byron,Ferguson,Foster,byronfoster,mAZgK6D8Mf,09534368054,Active,9,,,
Jack,Cole,Owens,jackowens,3qPAB4uTif,09534368054,Active,9,,,
Fiona,Holmes,Baker,fionabaker,CeJivk6EQu,09534368054,Active,9,,,
Jordan,Farrell,Gray,jordangray,dUCRR2g4wV,09534368054,Active,9,,,
Brooke,Allen,Philips,brookephilips,ZVnSK6Vyzn,09534368054,Active,9,,,
Henry,Howard,Cooper,henrycooper,JRokTQ2wQM,09534368054,Active,9,,,
Adrianna,Elliott,taylor,adriannataylor,8ihRSRsz5x,09534368054,Active,9,,,
Daniel,Payne,Adams,danieladams,Ycx6KnivaM,09338712073,Active,10,,,
Oscar,Chapman,Parker,oscarparker,Q2uXT36FJM,09338712073,Active,10,,,
Super,,Admin,superadmin,Fm7pioMXsV,09338712073,Active,11,,,
